date,wojew,location,new_cases,d_0,new_deaths,new_deaths_c,new_deaths_nc,new_tests_poz,new_recoveries,new_quarantine,new_tests,new_tests_plus,new_tests_minus,new_tests_other
2020-12-24,lubelskie,Biała Podlaska,25,4,1,0,1,22,6,233,69,28,39,2
2020-12-25,lubelskie,Biała Podlaska,15,2,1,0,1,20,17,231,70,16,51,3
2020-12-26,lubelskie,Biała Podlaska,3,0,0,0,0,0,15,180,18,4,14,0
2020-12-27,lubelskie,Biała Podlaska,2,0,0,0,0,0,9,165,12,2,9,1
2020-12-28,lubelskie,Biała Podlaska,3,0,0,0,0,0,12,156,19,4,15,0
2020-12-29,lubelskie,Biała Podlaska,6,1,1,0,1,51,14,186,46,7,39,0
2020-12-30,lubelskie,Biała Podlaska,23,4,1,1,0,25,6,173,91,23,65,3
2020-12-31,lubelskie,Biała Podlaska,6,1,2,0,2,24,4,174,45,6,33,6
2021-01-01,lubelskie,Biała Podlaska,27,4,0,0,0,22,22,158,95,29,66,0
2021-01-02,lubelskie,Biała Podlaska,3,0,0,0,0,0,21,141,17,4,13,0
2021-01-03,lubelskie,Biała Podlaska,0,0,0,0,0,0,11,129,29,0,29,0
2021-01-04,lubelskie,Biała Podlaska,5,0,0,0,0,0,2,127,25,5,20,0
2021-01-05,lubelskie,Biała Podlaska,9,1,1,0,1,50,6,191,58,10,47,1
2021-01-06,lubelskie,Biała Podlaska,20,3,4,1,3,28,10,180,86,21,61,4
2021-01-08,lubelskie,Biała Podlaska,8,1,2,1,1,43,18,185,38,8,30,0
2021-01-09,lubelskie,Biała Podlaska,22,3,1,0,1,13,12,175,73,22,49,2
2021-01-10,lubelskie,Biała Podlaska,10,1,0,0,0,1,21,159,60,10,47,3
2021-01-11,lubelskie,Biała Podlaska,3,0,0,0,0,3,5,147,34,3,30,1
2021-01-12,lubelskie,Biała Podlaska,10,1,0,0,0,41,5,180,75,13,62,0
2021-01-13,lubelskie,Biała Podlaska,20,3,4,1,3,10,5,195,104,20,82,2
2021-01-14,lubelskie,Biała Podlaska,5,0,1,0,1,21,10,203,116,5,111,0
2021-01-15,lubelskie,Biała Podlaska,7,1,0,0,0,20,18,203,84,9,75,0
2021-01-16,lubelskie,Biała Podlaska,4,0,0,0,0,14,17,206,93,4,88,1
2021-01-17,lubelskie,Biała Podlaska,9,1,0,0,0,0,10,198,88,9,77,2
2021-01-18,lubelskie,Biała Podlaska,3,0,1,1,0,0,19,183,10,3,7,0
2021-01-19,lubelskie,Biała Podlaska,7,1,0,0,0,28,16,203,79,8,69,2
2021-01-20,lubelskie,Biała Podlaska,12,2,0,0,0,18,6,218,72,13,58,1
2021-01-21,lubelskie,Biała Podlaska,18,3,2,2,0,28,9,235,94,21,73,0
