date,location,new_cases,d_0,new_deaths,new_deaths_c,new_deaths_nc,new_tests_poz,new_recoveries,new_quarantine,new_tests,new_tests_plus,new_tests_minus,new_tests_other
2020-12-24,Dolnośląskie,742,2,26,18,8,832,549,12025,3379,860,2461,58
2020-12-25,Dolnośląskie,474,1,10,8,2,324,718,11597,1967,505,1436,26
2020-12-26,Dolnośląskie,219,0,0,0,0,5,595,10726,1060,260,788,12
2020-12-27,Dolnośląskie,153,0,0,0,0,9,621,9850,692,170,507,15
2020-12-28,Dolnośląskie,109,0,0,0,0,10,573,9142,1047,130,903,14
2020-12-29,Dolnośląskie,405,1,30,10,20,1624,656,10200,3336,511,2762,63
2020-12-30,Dolnośląskie,674,2,32,11,21,1017,225,10596,3691,735,2890,66
2020-12-31,Dolnośląskie,804,2,23,5,18,985,399,10904,3970,891,3000,79
2021-01-01,Dolnośląskie,647,2,36,19,17,746,599,10738,4245,725,3436,84
2021-01-02,Dolnośląskie,344,1,10,1,9,14,665,9500,1436,377,1034,25
2021-01-03,Dolnośląskie,246,0,0,0,0,16,457,8847,1844,268,1544,32
2021-01-04,Dolnośląskie,115,0,0,0,0,9,299,8174,998,131,852,15
2021-01-05,Dolnośląskie,481,1,25,13,12,1907,233,9822,3780,571,3153,56
2021-01-06,Dolnośląskie,599,2,44,16,28,1080,185,10478,3751,655,3019,77
2021-01-07,Dolnośląskie,627,2,4,2,2,15,401,9922,3139,681,2422,36
2021-01-08,Dolnośląskie,461,1,13,6,7,1225,668,10564,3276,509,2720,47
2021-01-09,Dolnośląskie,514,1,22,14,8,952,773,10577,3471,565,2846,60
2021-01-10,Dolnośląskie,459,1,4,1,3,24,494,9806,2162,490,1648,24
2021-01-11,Dolnośląskie,227,0,0,0,0,16,436,9372,1341,247,1070,24
2021-01-12,Dolnośląskie,339,1,33,22,11,1383,300,11051,3562,403,3086,73
2021-01-13,Dolnośląskie,452,1,26,9,17,786,205,12267,5115,505,4557,53
2021-01-14,Dolnośląskie,463,1,16,7,9,730,440,12553,4922,518,4344,60
2021-01-15,Dolnośląskie,477,1,19,9,10,667,562,12472,5290,523,4719,48
2021-01-16,Dolnośląskie,378,1,9,3,6,674,752,12439,5196,419,4687,90
2021-01-17,Dolnośląskie,302,1,1,0,1,13,331,11942,3444,324,3079,41
2021-01-18,Dolnośląskie,156,0,0,0,0,21,570,11609,1593,174,1389,30
2021-01-19,Dolnośląskie,311,1,10,8,2,1031,542,12522,4774,374,4332,68
2021-01-20,Dolnośląskie,336,1,25,13,12,740,237,13001,3448,388,3006,54
2021-01-21,Dolnośląskie,567,1,11,10,1,672,321,13251,3701,631,2998,72
2021-01-22,Dolnośląskie,366,1,17,10,7,676,471,12906,3902,410,3439,53
2021-01-23,Dolnośląskie,414,1,15,9,6,650,530,12699,3675,463,3123,89
2021-01-24,Dolnośląskie,251,0,2,0,2,12,494,12216,1961,278,1651,32
2021-01-25,Dolnośląskie,179,0,1,0,1,6,371,11853,1774,198,1546,30
2021-01-26,Dolnośląskie,312,1,29,13,16,1089,364,12239,3981,411,3490,80
2021-01-27,Dolnośląskie,343,1,30,12,18,704,188,12292,3845,404,3381,60
2020-12-24,Kujawsko-Pomorskie,1312,6,38,2,36,1406,848,16578,4649,1399,3106,144
2020-12-25,Kujawsko-Pomorskie,767,3,27,4,23,839,1199,16147,2225,867,1301,57
2020-12-26,Kujawsko-Pomorskie,472,2,11,0,11,60,996,14878,1382,552,802,28
2020-12-27,Kujawsko-Pomorskie,326,1,6,0,6,87,986,13955,1210,413,761,36
2020-12-28,Kujawsko-Pomorskie,302,1,5,0,5,90,1050,13204,1157,331,794,32
2020-12-29,Kujawsko-Pomorskie,720,3,27,4,23,2551,956,14506,3187,823,2296,68
2020-12-30,Kujawsko-Pomorskie,1106,5,47,12,35,1618,473,14676,3948,1199,2652,97
2020-12-31,Kujawsko-Pomorskie,1517,7,47,9,38,1622,874,15140,4579,1595,2826,158
2021-01-01,Kujawsko-Pomorskie,967,4,27,2,25,1393,1228,15336,3201,1111,1999,91
2021-01-02,Kujawsko-Pomorskie,471,2,17,2,15,126,1199,14028,1586,605,949,32
2021-01-03,Kujawsko-Pomorskie,673,3,9,0,9,158,704,13186,2283,794,1432,57
2021-01-04,Kujawsko-Pomorskie,484,2,2,0,2,70,483,12384,1584,567,986,31
2021-01-05,Kujawsko-Pomorskie,913,4,28,2,26,3080,492,14046,4050,1004,2980,66
2021-01-06,Kujawsko-Pomorskie,1300,6,42,5,37,1874,414,14477,4745,1386,3279,80
2021-01-07,Kujawsko-Pomorskie,1078,5,18,4,14,53,634,13727,2957,1159,1713,85
2021-01-08,Kujawsko-Pomorskie,1034,5,39,5,34,2039,1093,14435,4469,1210,3128,131
2021-01-09,Kujawsko-Pomorskie,886,4,59,5,54,1526,1426,14241,4241,1037,3129,75
2021-01-10,Kujawsko-Pomorskie,923,4,17,5,12,90,948,12926,3001,992,1917,92
2021-01-11,Kujawsko-Pomorskie,388,1,6,2,4,46,478,12276,1701,494,1172,35
2021-01-12,Kujawsko-Pomorskie,526,2,25,0,25,2044,808,13912,3642,619,2963,60
2021-01-13,Kujawsko-Pomorskie,910,4,44,5,39,1338,597,14623,4753,972,3659,122
2021-01-14,Kujawsko-Pomorskie,993,4,44,9,35,1135,850,14944,4946,1055,3768,123
2021-01-15,Kujawsko-Pomorskie,712,3,24,2,22,1093,1237,15006,4597,823,3698,76
2021-01-16,Kujawsko-Pomorskie,653,3,33,4,29,1022,1086,14731,4011,770,3175,66
2021-01-17,Kujawsko-Pomorskie,658,3,16,1,15,49,919,13378,3338,719,2548,71
2021-01-18,Kujawsko-Pomorskie,201,0,3,0,3,51,898,12893,1144,219,900,25
2021-01-19,Kujawsko-Pomorskie,438,2,25,1,24,1492,976,13696,3264,543,2671,50
2021-01-20,Kujawsko-Pomorskie,534,2,36,10,26,991,410,13744,2777,576,2146,55
2021-01-21,Kujawsko-Pomorskie,729,3,44,4,40,922,586,13724,3110,790,2277,43
2021-01-22,Kujawsko-Pomorskie,613,2,22,1,21,981,826,13591,2820,669,2104,47
2021-01-23,Kujawsko-Pomorskie,644,3,28,4,24,927,1077,13102,3017,732,2240,45
2021-01-24,Kujawsko-Pomorskie,447,2,11,0,11,74,754,12210,2125,529,1545,51
2021-01-25,Kujawsko-Pomorskie,218,1,5,0,5,42,686,11660,1298,232,1045,21
2021-01-26,Kujawsko-Pomorskie,452,2,20,0,20,1635,576,12163,2806,582,2184,40
2021-01-27,Kujawsko-Pomorskie,634,3,45,7,38,1022,264,12056,3131,701,2387,43
2020-12-24,Lubelskie,597,2,72,44,28,786,477,9320,2282,647,1588,47
2020-12-25,Lubelskie,357,1,40,15,25,413,703,9011,1483,383,1078,22
2020-12-26,Lubelskie,268,1,7,0,7,22,590,7939,1016,292,713,11
2020-12-27,Lubelskie,103,0,6,1,5,8,477,7321,611,140,455,16
2020-12-28,Lubelskie,126,0,3,1,2,12,632,6659,898,154,733,11
2020-12-29,Lubelskie,490,2,30,8,22,1473,474,7207,2232,547,1640,45
2020-12-30,Lubelskie,609,2,37,14,23,850,177,7362,2544,649,1864,31
2020-12-31,Lubelskie,564,2,30,4,26,885,568,7658,2257,607,1594,56
2021-01-01,Lubelskie,388,1,21,13,8,634,627,7625,1718,424,1275,19
2021-01-02,Lubelskie,280,1,4,1,3,19,533,6868,1185,315,859,11
2021-01-03,Lubelskie,207,0,2,2,0,46,335,6276,1098,249,835,14
2021-01-04,Lubelskie,142,0,1,0,1,20,266,5966,1162,224,918,20
2021-01-05,Lubelskie,447,2,42,16,26,1530,199,6844,2449,511,1906,32
2021-01-06,Lubelskie,658,3,28,12,16,896,190,7132,2723,722,1965,36
2021-01-07,Lubelskie,331,1,4,2,2,15,470,6779,1638,378,1243,17
2021-01-08,Lubelskie,403,1,30,7,23,1073,579,7154,2280,480,1772,28
